Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Homage,Chrome 114.0.0.0,,,2023-06-10 00:03:02,2023-06-10 00:04:20,1m - 18.384s,PASSED
,,,,,,,
Test Cases/Homage/Open Homage,Chrome 114.0.0.0,,,2023-06-10 00:03:02,2023-06-10 00:03:09,6.910s,PASSED
"openBrowser(""https://www.homage.sg/"")",Chrome 114.0.0.0,,,2023-06-10 00:03:02,2023-06-10 00:03:09,6.741s,PASSED
,,,,,,,
Test Cases/Homage/Home Pag,Chrome 114.0.0.0,,,2023-06-10 00:03:09,2023-06-10 00:03:51,41.630s,PASSED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-10 00:03:09,2023-06-10 00:03:15,5.609s,PASSED
"verifyElementPresent(findTestObject(""Homagee/NavBar""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:03:15,2023-06-10 00:03:16,1.389s,PASSED
"scrollToElement(findTestObject(""Homagee/section_Our Services""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:03:16,2023-06-10 00:03:18,2.028s,PASSED
"scrollToElement(findTestObject(""Homagee/section_How Homage works""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:03:18,2023-06-10 00:03:20,2.016s,PASSED
"scrollToElement(findTestObject(""Homagee/section_Why Families Prefer Homage""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:03:20,2023-06-10 00:03:22,2.001s,PASSED
"scrollToElement(findTestObject(""Homagee/section_Medical Conditions""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:03:22,2023-06-10 00:03:24,2.004s,PASSED
"scrollToElement(findTestObject(""Homagee/section_Some of our top categories in Singapore""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:03:24,2023-06-10 00:03:26,2.010s,PASSED
"takeFullPageScreenshotAsCheckpoint(""Check home page visual"")",Chrome 114.0.0.0,,,2023-06-10 00:03:26,2023-06-10 00:03:51,24.424s,PASSED
,,,,,,,
Test Cases/Homage/Download Homage Page,Chrome 114.0.0.0,,,2023-06-10 00:03:51,2023-06-10 00:04:06,15.212s,PASSED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-10 00:03:51,2023-06-10 00:03:57,5.693s,PASSED
"click(findTestObject(""Homagee/nav_About Us""))",Chrome 114.0.0.0,,,2023-06-10 00:03:57,2023-06-10 00:03:57,0.581s,PASSED
"click(findTestObject(""Homagee/menu_Homage App""))",Chrome 114.0.0.0,,,2023-06-10 00:03:57,2023-06-10 00:04:00,2.709s,PASSED
"verifyElementPresent(findTestObject(""Homagee/title_Homage app page""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:04:00,2023-06-10 00:04:00,0.544s,PASSED
"scrollToElement(findTestObject(""Homagee/body_Homage app page""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:04:00,2023-06-10 00:04:01,0.544s,PASSED
"scrollToElement(findTestObject(""Homagee/body_review app page""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:04:01,2023-06-10 00:04:01,0.305s,PASSED
"scrollToElement(findTestObject(""Homagee/qr_homage app""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:04:01,2023-06-10 00:04:02,0.638s,PASSED
"takeFullPageScreenshotAsCheckpoint(""Check download homage page visual"")",Chrome 114.0.0.0,,,2023-06-10 00:04:02,2023-06-10 00:04:06,4.118s,PASSED
,,,,,,,
Test Cases/Homage/Download Butto Check,Chrome 114.0.0.0,,,2023-06-10 00:04:06,2023-06-10 00:04:20,14.393s,PASSED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-10 00:04:06,2023-06-10 00:04:11,4.882s,PASSED
"click(findTestObject(""Homagee/button_Get Care Now""))",Chrome 114.0.0.0,,,2023-06-10 00:04:11,2023-06-10 00:04:13,1.556s,PASSED
"verifyElementPresent(findTestObject(""Homagee/description_homage""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:04:13,2023-06-10 00:04:13,0.376s,PASSED
"scrollToElement(findTestObject(""Homagee/section_Speak to our Care Advisors""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:04:13,2023-06-10 00:04:13,0.291s,PASSED
"takeFullPageScreenshotAsCheckpoint(""Check download button page visual"")",Chrome 114.0.0.0,,,2023-06-10 00:04:13,2023-06-10 00:04:20,7.220s,PASSED
