Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ovo,Chrome 114.0.0.0,,,2023-06-06 23:13:57,2023-06-06 23:15:46,1m - 48.808s,PASSED
,,,,,,,
Test Cases/Ovo/Check About Us Ovo,Chrome 114.0.0.0,,,2023-06-06 23:13:57,2023-06-06 23:14:16,18.514s,PASSED
"callTestCase(findTestCase(""Ovo/Open Home Menu""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-06 23:13:58,2023-06-06 23:14:11,13.110s,PASSED
"click(findTestObject(""OVO/menu_About Us""))",Chrome 114.0.0.0,,,2023-06-06 23:14:11,2023-06-06 23:14:12,1.857s,PASSED
"verifyElementPresent(findTestObject(""OVO/aboutus_title""), 0)",Chrome 114.0.0.0,,,2023-06-06 23:14:12,2023-06-06 23:14:14,1.252s,PASSED
"scrollToElement(findTestObject(""OVO/aboutus_section""), 0)",Chrome 114.0.0.0,,,2023-06-06 23:14:14,2023-06-06 23:14:16,1.993s,PASSED
,,,,,,,
Test Cases/Ovo/Check deals ovo,Chrome 114.0.0.0,,,2023-06-06 23:14:16,2023-06-06 23:14:25,9.000s,PASSED
"callTestCase(findTestCase(""Ovo/Open Home Menu""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-06 23:14:16,2023-06-06 23:14:22,5.634s,PASSED
"click(findTestObject(""OVO/menu_Deals""))",Chrome 114.0.0.0,,,2023-06-06 23:14:22,2023-06-06 23:14:24,2.441s,PASSED
"verifyElementPresent(findTestObject(""OVO/title_Deals""), 0)",Chrome 114.0.0.0,,,2023-06-06 23:14:24,2023-06-06 23:14:24,0.310s,PASSED
"scrollToElement(findTestObject(""OVO/section_Deals""), 0)",Chrome 114.0.0.0,,,2023-06-06 23:14:24,2023-06-06 23:14:25,0.467s,PASSED
,,,,,,,
Test Cases/Ovo/Check feature ovo website,Chrome 114.0.0.0,,,2023-06-06 23:14:39,2023-06-06 23:14:53,13.888s,PASSED
"callTestCase(findTestCase(""Ovo/Open Home Menu""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-06 23:14:39,2023-06-06 23:14:47,7.936s,PASSED
"click(findTestObject(""OVO/menu_Features""))",Chrome 114.0.0.0,,,2023-06-06 23:14:47,2023-06-06 23:14:51,4.284s,PASSED
"scrollToElement(findTestObject(""OVO/feature_section""), 0)",Chrome 114.0.0.0,,,2023-06-06 23:14:51,2023-06-06 23:14:53,1.661s,PASSED
,,,,,,,
Test Cases/Ovo/Check merchant ovo,Chrome 114.0.0.0,,,2023-06-06 23:15:08,2023-06-06 23:15:24,15.960s,PASSED
"callTestCase(findTestCase(""Ovo/Open Home Menu""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-06 23:15:08,2023-06-06 23:15:17,8.994s,PASSED
"click(findTestObject(""OVO/menu_Merchants""))",Chrome 114.0.0.0,,,2023-06-06 23:15:17,2023-06-06 23:15:20,3.663s,PASSED
"verifyElementPresent(findTestObject(""OVO/title_Merchants""), 0)",Chrome 114.0.0.0,,,2023-06-06 23:15:20,2023-06-06 23:15:22,1.328s,PASSED
"scrollToElement(findTestObject(""OVO/section_Merchants""), 0)",Chrome 114.0.0.0,,,2023-06-06 23:15:22,2023-06-06 23:15:24,1.968s,PASSED
,,,,,,,
Test Cases/Ovo/Check news ovo,Chrome 114.0.0.0,,,2023-06-06 23:15:24,2023-06-06 23:15:37,13.504s,PASSED
"callTestCase(findTestCase(""Ovo/Open Home Menu""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-06 23:15:24,2023-06-06 23:15:33,8.926s,PASSED
"click(findTestObject(""OVO/menu_News""))",Chrome 114.0.0.0,,,2023-06-06 23:15:33,2023-06-06 23:15:36,3.445s,PASSED
"verifyElementPresent(findTestObject(""OVO/title_News""), 0)",Chrome 114.0.0.0,,,2023-06-06 23:15:36,2023-06-06 23:15:37,0.723s,PASSED
"scrollToElement(findTestObject(""OVO/section_News""), 0)",Chrome 114.0.0.0,,,2023-06-06 23:15:37,2023-06-06 23:15:37,0.289s,PASSED
,,,,,,,
Test Cases/Ovo/Open Home Menu,Chrome 114.0.0.0,,,2023-06-06 23:15:37,2023-06-06 23:15:46,8.514s,PASSED
"openBrowser(""https://www.ovo.id/"")",Chrome 114.0.0.0,,,2023-06-06 23:15:37,2023-06-06 23:15:42,4.871s,PASSED
"verifyElementPresent(findTestObject(""OVO/homeMenu""), 0)",Chrome 114.0.0.0,,,2023-06-06 23:15:42,2023-06-06 23:15:44,1.593s,PASSED
"click(findTestObject(""OVO/homeMenu""))",Chrome 114.0.0.0,,,2023-06-06 23:15:44,2023-06-06 23:15:46,2.043s,PASSED
