Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Homage,,,,2023-06-06 22:56:13,2023-06-06 22:56:20,7.636s,FAILED
,,,,,,,
Test Cases/Homage/Open Homage,,,,2023-06-06 22:56:16,2023-06-06 22:56:16,0.196s,FAILED
"openBrowser(""https://www.homage.sg/"")",,,,2023-06-06 22:56:16,2023-06-06 22:56:16,0.187s,FAILED
,,,,,,,
Test Cases/Homage/Home Pag,,,,2023-06-06 22:56:17,2023-06-06 22:56:17,0.265s,FAILED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",,,,2023-06-06 22:56:17,2023-06-06 22:56:17,0.254s,FAILED
,,,,,,,
Test Cases/Homage/Download Homage Page,,,,2023-06-06 22:56:18,2023-06-06 22:56:19,0.266s,FAILED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",,,,2023-06-06 22:56:18,2023-06-06 22:56:19,0.257s,FAILED
,,,,,,,
Test Cases/Homage/Download Butto Check,,,,2023-06-06 22:56:20,2023-06-06 22:56:20,0.261s,FAILED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",,,,2023-06-06 22:56:20,2023-06-06 22:56:20,0.231s,FAILED
