Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Homage,,,,2023-06-06 23:11:14,2023-06-06 23:11:21,6.413s,FAILED
,,,,,,,
Test Cases/Homage/Open Homage,,,,2023-06-06 23:11:16,2023-06-06 23:11:16,0.178s,FAILED
"openBrowser(""https://www.homage.sg/"")",,,,2023-06-06 23:11:16,2023-06-06 23:11:16,0.167s,FAILED
,,,,,,,
Test Cases/Homage/Home Pag,,,,2023-06-06 23:11:17,2023-06-06 23:11:18,0.279s,FAILED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",,,,2023-06-06 23:11:17,2023-06-06 23:11:18,0.262s,FAILED
,,,,,,,
Test Cases/Homage/Download Homage Page,,,,2023-06-06 23:11:19,2023-06-06 23:11:19,0.245s,FAILED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",,,,2023-06-06 23:11:19,2023-06-06 23:11:19,0.234s,FAILED
,,,,,,,
Test Cases/Homage/Download Butto Check,,,,2023-06-06 23:11:20,2023-06-06 23:11:21,0.230s,FAILED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",,,,2023-06-06 23:11:20,2023-06-06 23:11:21,0.223s,FAILED
